number,id,category,title,description,L1,C1,mitigation,plan,L2,C2
1,SS-TL-MI-RISK-MR-COST-001,Mission Resources,R\&D cost overruns,"may occur due to the novelty of the spacecraft under consideration. Unexpected difficulties might arise in the design, yielding delays and therefore cost overruns. This is particularly likely for the integration and design of a space-grade laser (never been done before) and the GNC subsystem (higher than usual requirements).",Likely,Moderate,no,,Likely,Moderate
2,SS-TL-MI-RISK-MR-COST-002,Mission Resources,Integration cost overruns,"can occur for non-COTS components which require recent or usually unused manufaturing processes (and therefore reults in difficulties in the manufacturing process). Due to the innofative character of the mission, this is a possible event, however, its consequence is minor compared to the development cost overruns.",Possible,Minor,no,,Possible,Minor
3,SS-TL-MI-RISK-MR-COST-003,Mission Resources,Operations cost overruns,"are a result of extended operational time of the mission. For the Space Sweeper mission, this would be the result of worse than expected capabilities of the system to clean up the space debris. This risk is less likely than R\&D cost overruns, however, as careful V\&V can be performed on the system. The consequence is always significant as the ground operation contracts and the ground team would need to be extended (violating the cost requirements).",Possible,Significant,yes,"all operations risks depend on the ability of the system to remove the debris within a given amount of time (depending on the time allocated to the primary and secondary mission). This can be carefully evaluated through simulations (V\&V of the laser system to evaluate its capability to remove the 50\% of the debris between 1 and 10 cm in the orbit of choice (SS-TL-STK-US-REQ-STB-002). Additional sources of risk linked to operations cost and schedule overruns are directly related to Project Management and Systems Engineering (PM\&SE). However, despite good PM\&SE practices, most space projects fail to meet the planned budgets and schedules due to the common thinking that those projects are “too big to fail” and that the technological and scientific outcomes outweigh the delays and cost overruns \footnote{URL: \url{https://spectrum.ieee.org/gao-warns-of-deteriorating-costs-and-schedules-in-nasas-major-project-portfolio} [Accessed on 21-05-2022]}. However, the design team is very aware of the budget and schedule limitations, and all available practices will be put in place to ensure that the Space Sweeper mission is a successful, within the cost and schedule constraints.",Unlikely,Moderate
4,SS-TL-MI-RISK-MR-SCH-001,Mission Resources,R\&D schedule overruns,"occur in case difficulties arise in the design process, similarly to SS-TL-MI-RISK-MR-COST-001. As this risk is always often linked to the cost overruns described above, this risk is likely due to the novelty of the mission. Furthermore, such delays would have a moderate effect on the mission, as SS-TL-STK-US-REQ-MI-001 (“The system shall be operational before the end of 2028.”) might not be satisfied, but the primary objective might still be met with delays.",Likely,Moderate,no,,Likely,Moderate
5,SS-TL-MI-RISK-MR-SCH-002,Mission Resources,Integration schedule overruns,"can occur from bad project management or a lack in experience regarding performing integration. Those schedule overruns are commonly less significant than the ones presented in SS-TL-MI-RISK-MR-SCH-001 and can be easily avoided using good project management practices, making it unlikely. Furthermore, for the system to be usable within a few weeks time from a collision or explosion, it would need to be produced ahead of time and stored, meaning that small integration schedule overruns would result in less storage time.",Unlikely,Minor,no,,Unlikely,Minor
6,SS-TL-MI-RISK-MR-SCH-003,Mission Resources,Operations schedule overruns,"are directly correlated with SS-TL-MI-RISK-MR-COST-003, as operations cost overruns arise from extending contracts with the ground station, which themselves arise from schedule overruns. They therefore have the same likelihood and consequence.",Possible,Significant,yes,same strategy as SS-TL-MI-RISK-MR-COST-003. ,Unlikely,Moderate
7,SS-SYS-TTC-RISK-001,"Telemetry, Command, and Tracking Subsystem",Loss of contact,"would most likely result from a failure of the TT\&C subsystem on board rather than on the ground segment. This might in the loss of the spacecraft and a mission failure, which is severe. It is however an unlikely occurrence as the technology (TRL 9) is now well known and COTS components can be used and thoroughly tested.",Unlikely,Severe,yes,"in the case of an on-board communication failure, the mitigation strategy should be applied to the spacecraft, not the ground system. Redundancy in the telecommunication system decreases the consequence of a loss of contact as the backup component could take over and contact would be retrieved.",Unlikely,Moderate
8,SS-SYS-TTC-RISK-002,"Telemetry, Command, and Tracking Subsystem",Multipactor discharge,It is a vacuum breakdown phenomenon which can occur at RF power levels of a few watts in the S-band. It is of particular importance for the diplexer which has a highly resonant nature.,Unlikely,Significant,no ,,Unlikely,Significant
9,SS-SYS-TTC-RISK-003,"Telemetry, Command, and Tracking Subsystem",Loss of contact,"would most likely result from a failure of the TT\&C subsystem on board rather than on the ground segment. This might in the loss of the spacecraft and a mission failure, which is severe. It is however an unlikely occurrence as the technology (TRL 9) is now well known and COTS components can be used and thoroughly tested.",Unlikely,Severe,yes,"in the case of an on-board communication failure, the mitigation strategy should be applied to the spacecraft, not the ground system. Redundancy in the telecommunication system decreases the consequence of a loss of contact as the backup component could take over and contact would be retrieved.",Unlikely,Moderate
10,SS-SYS-EPS-RISK-001,Electrical Power Subsystem,Power lines failure,"of either the spacecraft bus or the payload could occur due to vibrations during the launch and would result in a mission failure (severe). This is however very unlikely as those connections can be thoroughly tested, making the risk easily avoidable.",Very Unlikely,Severe,no,,Very Unlikely,Severe
